PH,,,,,,,,,,,,,,,,,,
Won%,1.73%,0.28%,2.63%,1.83%,1.02%,5.88%,2.78%,3.75%,0.00%,4.55%,5.77%,0.00%,3.45%,0.00%,0.00%,0.00%,0.00%,0.00%
CPL,RM54,RM39,RM60,RM54,RM67,RM126,RM45,RM65,RM52,RM48,RM40,RM67,RM55,RM100,RM48,RM201,RM33,RM171
CPMQL,RM100,RM85,RM103,RM92,RM106,RM169,RM80,RM116,RM132,RM76,RM72,RM217,RM94,RM299,RM72,RM402,#DIV/0!,
CPSQL,RM261,RM316,RM272,RM422,RM436,RM292,RM267,RM289,RM790,RM303,RM297,#DIV/0!,RM178,"RM1,197",RM434,RM804,RM494,/
CPWon,"RM3,133","RM13,886","RM2,267","RM2,957","RM6,546","RM2,144","RM1,604","RM1,733",#DIV/0!,"RM1,059",RM693,#DIV/0!,"RM1,601",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,/
,,,,,,,,,,,,,,,,,,
CTR (%),0.4%,0.6%,0.3%,0.2%,0.3%,0.4%,0.4%,0.5%,0.4%,0.4%,0.3%,0.5%,0.4%,0.4%,0.3%,0.5%,0.8%,1.0%
Message Rate (%),0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%
ThruPlay %,3.3%,2.8%,3.0%,1.0%,1.4%,1.1%,3.3%,2.8%,4.4%,1.2%,2.7%,0.7%,2.4%,0.9%,3.2%,2.6%,0.1%,2.7%
,,,,,,,,,,,,,,,,,,
Justification,"High spend i.e scalability 
High SQL%
Low CPL
Low CPSQL
High CPWon","High spend i.e scalability
Very High CPWon
Low CPL","High spend i.e scalability
High SQL%
Low CPL
Low CPSQL
Low CTR%","High spend i.e scalability
Low CTR%","High spend i.e scalability
Low CPWon
Low CTR%","High spend i.e scalability
Highest SQL%
High CPL
Low CPSQL
High Won%","High spend i.e scalability
Low CPL
Low CPSQL
Low CPWon","High SQL%
Low CPSQL
Low CPWon","Low SQL%
Low CPL
High CPSQL
No Wins","Low CPL
Low CPWon",,,"High SQL%
Low CPSQL
Low CPWon","Low SQL%
High CPL
Low CPSQL",,"High CPL
High SQL%
High CPSQL",,"High CPL
Low Spend
Good CTR%
Good ThruPlay %
"
Learning,"All-In-One POS
Hardware
Promo","Hardware
Split Screen
Unboxing
#1 POS
CTA Button","All-In-One POS
Hardware
Promo","All-In-One POS
Hardware
Merchant Logos","Hardware
Merchant Quote","Hardware
Promo","Hardware
Promo
#1 POS","All-In-One POS
Merchant Logos
Hardware",CTA Button,"Promo
Hardware",,,"Promo
Hardware
#1 POS","Promo
Hardware",,"Hardware
Merchant Quote",,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Period Avg.,,,,,,,,,,,,,,,,,,
SQL%,24%,,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,
Won%,7%,,,,,,,,,,,,,,,,,
CPL,RM99,,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,
CPSQL,RM425,,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,
CPWon,"RM1,518",,,,,,,,,,,,,,#DIV/0!,,#DIV/0!,
,,,,,,,,,,,,,,,,,,
CTR (%),0.82%,,,,,,,,,,,,,,,,,
Message Rate (%),0.88%,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Final Takeaways,"1. Best Performing Creative Themes

“All-In-One POS” messaging consistently drives high SQL% and scalability, with low CPL and CPSQL — proving that product-focused, value-driven messages perform best.

Creatives that highlight “#1 POS System” with promo as supporting point perfom better than logos as supporting point.

The CTR% for these ads was usually lower than average.",,,,,,,,,,,,,,,,,
,"2. Underperforming Creative Elements

- Hardware + merchant quotes/logos/testimonials underperformed — they result in high CPL and low Win%.

- Creatives with Testimonials didn’t scale — despite decent engagement, they failed to get SQLs or Wins (high CPWon).",,,,,,,,,,,,,,,,,
,"3. Strong Creative Drivers

Promotional hooks (e.g., “₱63 software,” “₱21,000 off”) significantly improve SQL% — discount-led offers work well as acquisition triggers.",,,,,,,,,,,,,,,,,
,"4. Creative Optimization Insights

Test more ads with CTA buttons + hardware to improve engagement without losing clarity of the main offering.",,,,,,,,,,,,,,,,,
