MY,,,,,,,,,,,,,,,,,,,,,,,
Won%,2.33%,6.73%,3.85%,7.06%,0.79%,5.71%,#DIV/0!,2.70%,9.72%,6.45%,6.25%,0.00%,2.27%,17.07%,13.64%,3.85%,7.14%,4.55%,6.82%,#DIV/0!,6.45%,13.64%,4.55%
CPL,RM66,RM172,RM168,RM186,RM124,RM210,RM0,RM70,RM86,RM130,RM87,RM135,RM211,RM156,RM268,RM197,RM109,RM66,RM94,RM0,RM106,RM96,RM62
CPMQL,RM86,RM188,RM196,RM197,RM137,RM217,#DIV/0!,RM83,RM92,RM148,RM94,RM151,RM226,RM173,RM268,RM233,RM127,RM87,RM101,#DIV/0!,RM109,RM118,RM81
CPSQL,RM508,RM510,"RM1,028",RM584,RM783,RM736,#DIV/0!,RM446,RM253,RM505,RM335,RM807,"RM1,854",RM427,RM536,"RM1,024",RM416,RM333,RM344,#DIV/0!,RM252,RM303,RM343
CPWon,"RM2,848","RM2,550","RM4,367","RM2,629","RM15,667","RM3,682",#DIV/0!,"RM2,587",RM885,"RM2,019","RM1,388",#DIV/0!,"RM9,269",RM916,"RM1,965","RM5,119","RM1,527","RM1,442","RM1,377",#DIV/0!,"RM1,637",RM707,"RM1,371"
CTR (%),0.53%,0.41%,0.57%,0.34%,0.51%,0.29%,0.43%,0.47%,0.40%,0.41%,0.41%,0.43%,0.44%,0.33%,0.39%,0.47%,0.37%,0.47%,0.38%,0.31%,0.39%,0.35%,0.34%
Hold Rate (%),0.25%,0.16%,0.25%,0.51%,0.25%,0.00%,0.52%,0.25%,0.53%,0.26%,0.63%,0.11%,0.20%,0.18%,0.00%,0.33%,0.00%,0.00%,0.59%,0.26%,0.00%,0.00%,0.00%
Hook Rate (%),0.14%,0.10%,0.18%,0.02%,0.22%,0.00%,0.00%,0.12%,0.01%,0.12%,0.08%,0.20%,0.17%,0.10%,0.00%,0.13%,0.00%,0.00%,0.09%,0.12%,0.00%,0.00%,0.00%
Message Rate (%),0.01%,0.00%,0.00%,0.01%,0.00%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%,0.00%,0.03%,0.01%,0.01%,0.01%,0.00%,0.03%,0.31%,0.01%,0.01%,0.00%
ThruPlay (%),0.21%,0.13%,0.16%,0.11%,0.23%,0.00%,0.01%,0.31%,0.03%,0.24%,0.37%,0.08%,0.11%,0.06%,0.00%,0.22%,0.00%,0.00%,0.11%,0.11%,0.00%,0.00%,0.00%
Avg. Video Play Time (sec),3.3,2.0,3.8,2.0,4.5,0.0,2.0,2.0,2.0,2.5,1.5,3.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,
Justification,"High spend i.e scalability 
Low CPL
Low SQL%
High CPWon
Low won%","High spend i.e scalability 
High SQL%
High CPWon","High spend i.e scalability 
High CPL
Low SQL%
High CPWon","High spend i.e scalability 
High SQL%
High CPWon","High spend i.e scalability 
Low SQL%
Low won%
Very High CPWon","High spend i.e scalability 
High CPL
Low SQL%
High CPWon","High spend i.e scalability

SF shows no leads from this ad","High spend i.e scalability 
Low CPL
Low SQL%
Low CPSQL
High CPWon","High spend i.e scalability 
High SQL%
Low CPSQL
Low CPWon","High spend i.e scalability 
Low CPSQL
High Won%","High spend i.e scalability
Low CPL
Low CPSQL
Low CPWon
High Won%","High spend i.e scalability
Low CPL
Low CPSQL
Low CPWon
High Won%","High spend i.e scalability
Low SQL%
Low Won%
High CPSQL
High CPWon","High spend i.e scalability
Low CPSQL
Low CPWon
High Won%",High CPL,"High CPL
High CPSQL
High CPWon","Low CPL
Low CPSQL","Low CPL
Low CPSQL
Low CPWon","Low CPL
Low CPSQL
Low CPWon",SF shows no leads from this ad,"Low CPSQL
High SQL%","Low CPSQL
High SQL%
Low CPWon
High Won%","Low CPL
Low CPSQL
Low CPWon"
Learning,"Hardware
Unboxing
Language: Malay","Split screen
Hardware
Promo
% Promo
Seasonal: Raya
Hardware - choose your fighter
Language: Chinese","Hardware
Unboxing
Language: English","Hardware
Promo
% Promo
Seasonal: Merdeka
Language: Chinese","Hardware
Unboxing
Language: Chinese","Hardware
Comparison - StoreHub vs Other POS
Language: English
No. 1 POS System","Hardware
Split Screen
Promo
% Promo
Unboxing
Language: Malay
With thumbnail","Split screen
Hardware
Seasonal: Merdeka
Language: Malay
Promo
Price Promo
% Promo","Promo
Seasonal: Merdeka
Language: English
With thumbnail
Dynamic Creative","Split screen
Hardware
Seasonal: Merdeka
Language: English
Promo
Price Promo
% Promo","Hardware
Promo
Language: Malay
Price Promo
% Promo","AI Hook
Hardware
Language: English
Hardware - choose your fighter","Hardware
Unboxing
Language: English","Hardware
Language: English
Hardware - choose your fighter",,"Split screen
Hardware
Seasonal: Merdeka
Language: Chinese
Promo
Price Promo
% Promo","Hardware
Promo
Language: Malay
Price Promo
% Promo
No. 1 POS System","Hardware
Promo
Language: Malay
Price Promo
% Promo
No. 1 POS System","Hardware
Comparison
Language: Chinese
Comparison - StoreHub vs Other POS","Split screen
Unboxing
Hardware
Language: English","Hardware
Promo
Language: English
Price Promo
% Promo
No. 1 POS System","Hardware
Comparison
Language: English
No. 1 POS System
Comparison - StoreHub vs Other POS","Hardware
Comparison
Language: Malay
Comparison - StoreHub vs Other POS"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Period Avg.,,,,,,,,,,,,,,,,,,,,,,,
SQL%,29.00%,,,,,,,,,,,,,,,,,,,,,,
Won%,8.50%,,,,,,,,,,,,,,,,,,,,,,
CPL,122,,,,,,,,,,,,,,,,,,,,,,
CPSQL,434,,,,,,,,,,,,,,,,,,,,,,
CPWon,1466,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CTR (%),1.04%,,,,,,,,,,,,,,,,,,,,,,
Hold Rate (%),39.20%,,,,,,,,,,,,,,,,,,,,,,
Hook Rate (%),14.50%,,,,,,,,,,,,,,,,,,,,,,
Message Rate (%),0.88%,,,,,,,,,,,,,,,,,,,,,,
ThruPlay (%),41.00%,,,,,,,,,,,,,,,,,,,,,,
Avg. Video Play Time (sec),5 sec,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Final Takeaways,"Winning Creative Patterns

Split-screen + Promo creatives consistently perform best — combining price discount messaging (e.g., “55% off”) with clear product visuals drives both high SQL% and high Win%.

Hardware + Promo ads (especially when combined with “StoreHub vs Other POS” comparisons) show low CPL and CP SQL, proving that competitive framing enhances bottom-funnel efficiency.

Language localization works:
English creatives achieve highest Win%,
Chinese creatives generate good SQL%.",,,,,,,,,,,,,,,,,,,,,,
,"Underperforming Creative Patterns

Change from last quarter, Generic Unboxing videos are some of the most scalabale ads BUT (without promo or clear CTA) repeatedly underperform — they have low SQL%, low Win%, and high CPWon, indicating poor conversion efficiency.

Static or testimonial-like creatives struggle to convert despite moderate engagement — these are better suited for mid-funnel awareness than direct acquisition.

High CPL & CPSQL appear in promo-only ads without hardware context — showing that discount messaging alone is insufficient without clear product framing.",,,,,,,,,,,,,,,,,,,,,,
,"Strong Creative Drivers

Hardware-first + Promo/seasonality hybrid messaging is the most reliable top performer (e.g., Merdeka, Comic Promo, Cost Comparison).

Localized seasonal hooks (Raya, Merdeka) improve performance when paired with strong visuals and pricing incentives.

“#1 POS System” and competitive comparison messaging improve trust, driving higher SQL% and Win%.

Split-screen formats perform better than full-frame unboxing — they allow side-by-side feature or price comparisons, making the offer clearer and more engaging.",,,,,,,,,,,,,,,,,,,,,,
,"Optimization Insights

Continue scaling: Split-screen, comparison, and hardware+promo creatives (especially with localized language and price offers).

Test further: Variations of “StoreHub vs Competitor” messaging — explore visual simplification and dynamic CTA placement.

Phase out: Plain unboxing videos and testimonial content in acquisition campaigns.",,,,,,,,,,,,,,,,,,,,,,
,Thumbnails - Big head merchant,,,,,,,,,,,,,,,,,,,,,,
